Date : 2022-06-14 01:25:21
Directory : /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2
Total : 202 files,  64934 codes, 514 comments, 2322 blanks, all 67770 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/job                                                                                                                          |          2 |        290 |          0 |         28 |        318 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/jobs                                                                                                                         |          2 |        386 |          0 |         28 |        414 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/features/user                                                                                                                         |          2 |        257 |          0 |         28 |        285 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/middleware                                                                                                                            |          6 |        903 |          0 |         86 |        989 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/middleware/auth                                                                                                                       |          4 |        676 |          0 |         58 |        734 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/middleware/restclient                                                                                                                 |          2 |        227 |          0 |         28 |        255 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/model                                                                                                                                 |          2 |        191 |          0 |         28 |        219 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/pages                                                                                                                                 |          4 |        712 |          0 |         58 |        770 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/services                                                                                                                              |          2 |        245 |          0 |         28 |        273 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/styles                                                                                                                                |          4 |      1,971 |          0 |         59 |      2,030 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/types                                                                                                                                 |          2 |        242 |          0 |         28 |        270 |
| CS673_Frontend_TS_React/coverage/lcov-report/src/utils                                                                                                                                 |          2 |        251 |          0 |         28 |        279 |
| CS673_Frontend_TS_React/coverage/lcov-report/styles                                                                                                                                    |          3 |      1,745 |          0 |         44 |      1,789 |
| CS673_Frontend_TS_React/public                                                                                                                                                         |          2 |         59 |         25 |          2 |         86 |
| CS673_Frontend_TS_React/src                                                                                                                                                            |         56 |      2,903 |        251 |        322 |      3,476 |
| CS673_Frontend_TS_React/src/app                                                                                                                                                        |          2 |         29 |          0 |          3 |         32 |
| CS673_Frontend_TS_React/src/components                                                                                                                                                 |         28 |      1,244 |        116 |        193 |      1,553 |
| CS673_Frontend_TS_React/src/components/Activity_Components                                                                                                                             |          3 |        346 |         51 |         38 |        435 |
| CS673_Frontend_TS_React/src/components/Job_Components                                                                                                                                  |          7 |        365 |         28 |         45 |        438 |
| CS673_Frontend_TS_React/src/components/Landing_Page_Components                                                                                                                         |          2 |        128 |          6 |         10 |        144 |
| CS673_Frontend_TS_React/src/data                                                                                                                                                       |          1 |        524 |         94 |          2 |        620 |
| CS673_Frontend_TS_React/src/features                                                                                                                                                   |          6 |        248 |          6 |         23 |        277 |
| CS673_Frontend_TS_React/src/features/UI                                                                                                                                                |          1 |         21 |          0 |          4 |         25 |
| CS673_Frontend_TS_React/src/features/activities                                                                                                                                        |          1 |         64 |          4 |          6 |         74 |
| CS673_Frontend_TS_React/src/features/activity                                                                                                                                          |          1 |         33 |          0 |          4 |         37 |
| CS673_Frontend_TS_React/src/features/job                                                                                                                                               |          1 |         36 |          0 |          4 |         40 |
| CS673_Frontend_TS_React/src/features/jobs                                                                                                                                              |          1 |         67 |          2 |          3 |         72 |
| CS673_Frontend_TS_React/src/features/user                                                                                                                                              |          1 |         27 |          0 |          2 |         29 |
| CS673_Frontend_TS_React/src/middleware                                                                                                                                                 |          4 |        115 |          0 |         18 |        133 |
| CS673_Frontend_TS_React/src/middleware/auth                                                                                                                                            |          3 |         98 |          0 |         16 |        114 |
| CS673_Frontend_TS_React/src/middleware/restclient                                                                                                                                      |          1 |         17 |          0 |          2 |         19 |
| CS673_Frontend_TS_React/src/model                                                                                                                                                      |          1 |          7 |          0 |          0 |          7 |
| CS673_Frontend_TS_React/src/pages                                                                                                                                                      |          4 |        124 |          7 |         22 |        153 |
| CS673_Frontend_TS_React/src/services                                                                                                                                                   |          1 |         20 |          0 |          5 |         25 |
| CS673_Frontend_TS_React/src/styles                                                                                                                                                     |          3 |        489 |         21 |         36 |        546 |
| CS673_Frontend_TS_React/src/types                                                                                                                                                      |          1 |         17 |          4 |          3 |         24 |
| CS673_Frontend_TS_React/src/utils                                                                                                                                                      |          1 |         23 |          0 |          4 |         27 |
| jobs-tracker-frontend                                                                                                                                                                  |          1 |         80 |          0 |          1 |         81 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build.toml                                                         | TOML               |         34 |          1 |          6 |         41 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build/packaged-template.yaml                                       | YAML               |        121 |          0 |          3 |        124 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.aws-sam/build/template.yaml                                                | YAML               |        121 |          0 |          3 |        124 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/CS673_Backend_Go.iml                                                  | XML                |         32 |          0 |          0 |         32 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/aws.xml                                                               | XML                |         17 |          0 |          0 |         17 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/.idea/modules.xml                                                           | XML                |          8 |          0 |          0 |          8 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/README.md                                                                   | Markdown           |         89 |          0 |         42 |        131 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/go.mod                                                   | Go Module File     |         22 |          0 |          4 |         26 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/go.sum                                                   | Go Checksum File   |        191 |          0 |          1 |        192 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/activityController/main.go                                                  | Go                 |        171 |         21 |         59 |        251 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/go.mod                                                          | Go Module File     |          3 |          0 |          3 |          6 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/go.sum                                                          | Go Checksum File   |         17 |          0 |          1 |         18 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/main.go                                                         | Go                 |         37 |          3 |         12 |         52 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/hello-world/main_test.go                                                    | Go                 |         51 |          0 |         14 |         65 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/go.mod                                                        | Go Module File     |         22 |          0 |          4 |         26 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/go.sum                                                        | Go Checksum File   |        191 |          0 |          1 |        192 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/jobController/main.go                                                       | Go                 |        220 |         23 |         70 |        313 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/template.yaml                                                               | YAML               |        103 |          4 |          8 |        115 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/go.mod                                                       | Go Module File     |         23 |          0 |          4 |         27 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/go.sum                                                       | Go Checksum File   |        193 |          0 |          1 |        194 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Backend_Go_Microservices/userController/main.go                                                      | Go                 |        124 |         31 |         38 |        193 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/.prettierrc                                                                        | JSON               |          6 |          0 |          1 |          7 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/Code_Overview.md                                                                   | Markdown           |         92 |          0 |         61 |        153 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/README.md                                                                          | Markdown           |         62 |          1 |         48 |        111 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/README_CRA.md                                                                      | Markdown           |         25 |          0 |         20 |         45 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/babel.config.json                                                                  | JSON with Comments |         16 |          0 |          1 |         17 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/clover.xml                                                                | XML                |      3,244 |          0 |          1 |      3,245 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/coverage-final.json                                                       | JSON               |         48 |          0 |          1 |         49 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/BasicModal.tsx.html                                           | HTML               |        194 |          0 |         14 |        208 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/Link.js.html                                                  | HTML               |        155 |          0 |         14 |        169 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/hooks.ts.html                                             | HTML               |         83 |          0 |         14 |         97 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/index.html                                                | HTML               |        116 |          0 |         15 |        131 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/app/store.ts.html                                             | HTML               |        149 |          0 |         14 |        163 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/base.css                                                      | CSS                |        203 |          9 |         13 |        225 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/block-navigation.js                                           | JavaScript         |         66 |          7 |         15 |         88 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/Activity_Components/ActivityForm.tsx.html          | HTML               |        755 |          0 |         14 |        769 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/Activity_Components/index.html                     | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/BasicModal.tsx.html                                | HTML               |        269 |          0 |         14 |        283 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/JobForm.tsx.html                                   | HTML               |        163 |          0 |         15 |        178 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/Job_Components/JobForm.tsx.html                    | HTML               |        547 |          0 |         18 |        565 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/Job_Components/index.html                          | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/Link.js.html                                       | HTML               |        155 |          0 |         14 |        169 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/components/index.html                                         | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/UI/index.html                                        | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/UI/ui_slice.tsx.html                                 | HTML               |        143 |          0 |         14 |        157 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/activities/activities-slice.tsx.html                 | HTML               |        290 |          0 |         14 |        304 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/activities/index.html                                | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/activity/activity-slice.tsx.html                     | HTML               |        179 |          0 |         14 |        193 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/activity/index.html                                  | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/job/index.html                                       | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/job/job-slice.tsx.html                               | HTML               |        188 |          0 |         14 |        202 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/jobs/index.html                                      | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/jobs/jobs-api-slice.ts.html                          | HTML               |        281 |          0 |         14 |        295 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/user/index.html                                      | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/features/user/user-slice.tsx.html                             | HTML               |        131 |          0 |         14 |        145 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/index.html                                                    | HTML               |        382 |          0 |         34 |        416 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/prettify.css                                                  | CSS                |          1 |          0 |          1 |          2 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/prettify.js                                                   | JavaScript         |          1 |          1 |          1 |          3 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/sorter.js                                                     | JavaScript         |        165 |         17 |         15 |        197 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/App.tsx.html                                              | HTML               |        152 |          0 |         14 |        166 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/app/hooks.ts.html                                         | HTML               |         83 |          0 |         14 |         97 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/app/index.html                                            | HTML               |        116 |          0 |         15 |        131 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/app/store.ts.html                                         | HTML               |        149 |          0 |         14 |        163 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Activity_Components/Activity.tsx.html          | HTML               |        242 |          0 |         14 |        256 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Activity_Components/ActivityContainer.tsx.html | HTML               |        512 |          0 |         14 |        526 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Activity_Components/ActivityForm.tsx.html      | HTML               |        755 |          0 |         14 |        769 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Activity_Components/index.html                 | HTML               |        130 |          0 |         16 |        146 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/AddBtn.tsx.html                                | HTML               |        101 |          0 |         14 |        115 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/BasicModal.tsx.html                            | HTML               |        269 |          0 |         14 |        283 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/ExternalAPI.tsx.html                           | HTML               |        230 |          0 |         14 |        244 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/HomePageHeader.tsx.html                        | HTML               |        167 |          0 |         14 |        181 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/DeleteBtn.tsx.html              | HTML               |         98 |          0 |         14 |        112 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/JobCard.tsx.html                | HTML               |        146 |          0 |         14 |        160 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/JobCardList.tsx.html            | HTML               |        224 |          0 |         14 |        238 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/JobCardNew.tsx.html             | HTML               |        383 |          0 |         14 |        397 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/JobForm.tsx.html                | HTML               |        580 |          0 |         18 |        598 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/NoJobs.tsx.html                 | HTML               |        110 |          0 |         14 |        124 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Job_Components/index.html                      | HTML               |        172 |          0 |         19 |        191 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Landing_Page_Components/Waves.tsx.html         | HTML               |        215 |          0 |         14 |        229 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Landing_Page_Components/index.html             | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Login.tsx.html                                 | HTML               |        122 |          0 |         14 |        136 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Logout.tsx.html                                | HTML               |        122 |          0 |         14 |        136 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/NavMenuItems.tsx.html                          | HTML               |        185 |          0 |         14 |        199 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/Navbar.tsx.html                                | HTML               |        183 |          0 |         16 |        199 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/SortBySelect.tsx.html                          | HTML               |         80 |          0 |         14 |         94 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/User.tsx.html                                  | HTML               |        164 |          0 |         14 |        178 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/UserMenuItem.tsx.html                          | HTML               |        143 |          0 |         14 |        157 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/components/index.html                                     | HTML               |        242 |          0 |         24 |        266 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/data/index.html                                           | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/data/mockdata.tsx.html                                    | HTML               |      1,928 |          0 |         14 |      1,942 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/features/UI/index.html                                    | HTML               |        102 |          0 |         14 |        116 |
| /Users/benzinho/dev/BU/MET CS673 - Software Engineering/group-project-team2/CS673_Frontend_TS_React/coverage/lcov-report/src/features/UI/ui_slice.tsx.html                             | HTML               |        143 |          0 |         14 |        157 |
